Plot;year;elevation;crown_cover_ha;temperature_year;precipitation
Els10;2007;569;85;7,0872;1279,1306
Els10;2016;569;85;7,2114;1109,6376
Hue11;2007;665;75;7,9438;1306,5235
Hue11;2016;665;75;8,1936;1079,7687
Igg35;2007;379;70;9,0174;1058,0713
Igg35;2016;379;40;9,0692;969,6971
Isa30;2007;325;120;9,4999;942,2565
Isa30;2016;325;120;9,5834;907,7436
Isa31;2007;318;80;9,3387;994,9943
Isa31;2016;318;80;9,3918;948,9044
Isa32;2007;317;90;9,3562;993,2631
Isa32;2016;317;90;9,4091;945,4006
Jos19;2007;380;90;9,9042;1086,2921
Jos19;2016;380;90;9,9584;1053,9166
Jos20;2007;507;110;9,5344;1186,1834
Jos20;2016;507;110;9,3886;1109,7644
Jos21;2007;364;35;10,278;1127,2125
Jos21;2016;364;35;10,139;1050,7747
Jos22;2007;297;65;10,6048;1101,6001
Jos22;2016;297;105;10,4651;1027,2328
NP38;2007;614;30;7,8035;1396,2668
NP38;2016;614;80;8,0743;1111,5175
Reh2;2007;570;70;7,8352;1254,8978
Reh2;2016;570;70;7,8399;1124,2269
Sal25;2007;505;75;8,3451;1315,0062
Sal25;2016;505;75;8,5175;1052,3404
Sal26;2007;503;80;8,4784;1321,5519
Sal26;2016;503;50;8,5526;1050,7643
Sal28;2007;503;85;8,304;1318,4459
Sal28;2016;503;85;8,4724;1052,3843
Sal29;2007;685;50;7,6498;1365,7472
Sal29;2016;685;30;7,6806;1140,039
T1_2;2007;739,6412;80;6,6119;1391,4936
T1_2;2016;739,6412;25;6,3188;1232,2083
T1_34;2007;833,6733;15;6,4595;1579,8407
T1_34;2016;833,6733;15;6,0848;1200,4188
T1_40;2007;799,7223;5;6,683;1620,8832
T1_40;2016;799,7223;5;6,2534;1208,0322
T1_42;2007;807,0535;100;6,7656;1646,7429
T1_42;2016;807,0535;100;6,393;1213,4129
T1_49;2007;891,4659;65;6,968;1799,6742
T1_49;2016;891,4659;65;6,5858;1328,1026
T1_52;2007;945,3528;30;6,6778;1886,1961
T1_52;2016;945,3528;30;6,5869;1359,8893
T1_61;2007;1215,2942;15;5,8676;2138,6555
T1_61;2016;1215,2942;15;5,7107;1506,5889
T1_63;2007;1287,0922;25;5,5456;2173,918
T1_63;2016;1287,0922;30;5,3729;1540,7676
T1_66;2007;1367,9861;0;5,0074;2212,2265
T1_66;2016;1367,9861;3;4,782;1578,2689
T1_8;2007;782,9664;30;6,2283;1556,7116
T1_8;2016;782,9664;110;5,8963;1255,423
T2_23;2007;827,2505;45;6,2575;1740,1921
T2_23;2016;827,2505;20;5,8994;1328,5697
T2_41;2007;986,5388;40;6,1832;1928,7166
T2_41;2016;986,5388;40;6,0091;1383,7718
T2_48;2007;1039,4379;45;6,2045;1946,8534
T2_48;2016;1039,4379;110;5,9667;1402,6641
T2_49;2007;1060,2637;90;6,1264;1957,6381
T2_49;2016;1060,2637;40;5,8877;1412,248
T2_65;2007;1352,3226;15;5,0513;2179,5234
T2_65;2016;1352,3226;10;4,6824;1567,9429
T2_71;2007;1334,1539;1;4,6748;2180,6134
T2_71;2016;1334,1539;0;4,2492;1585,1337
T2_9;2007;847,4991;95;6,6055;1470,8962
T2_9;2016;847,4991;55;6,2864;1330,0343
T3_3;2007;660,0196;90;7,7947;1451,3721
T3_3;2016;660,0196;100;7,6613;1118,8265
T3_30;2007;994,4798;90;6,4937;1657,357
T3_30;2016;994,4798;85;6,307;1234,6921
T3_32;2007;1047,3567;95;6,2765;1675,4166
T3_32;2016;1047,3567;95;6,0875;1237,968
T3_40;2007;1070,1128;85;5,828;1658,0442
T3_40;2016;1070,1128;45;5,625;1326,3179
T3_5;2007;673,9177;25;7,6383;1463,7652
T3_5;2016;673,9177;100;7,499;1134,2611
T3_50;2007;1181,9025;30;5,4589;1750,8972
T3_50;2016;1181,9025;5;5,1536;1301,2034
T3_55;2007;1251,7696;55;4,9826;1703,3453
T3_55;2016;1251,7696;0;4,7111;1238,3962
T3_57;2007;1260,5489;60;4,9505;1689,6101
T3_57;2016;1260,5489;0;4,6853;1221,7063
T4_39;2007;766,8524;40;7,0518;1558,8399
T4_39;2016;766,8524;110;6,7821;1083,7425
T4_51;2007;1006,8704;90;6,375;1607,1163
T4_51;2016;1006,8704;75;6,1791;1151,2358
T4_54;2007;1108,1019;105;6,0646;1624,9226
T4_54;2016;1108,1019;105;5,8784;1189,8075
T4_59;2007;1150,4956;75;5,425;1607,7502
T4_59;2016;1150,4956;65;5,3596;1200,0743
T4_64;2007;1136,8246;85;5,1333;1568,4082
T4_64;2016;1136,8246;70;5,1704;1217,0202
T4_70;2007;1197,2034;70;4,5061;1505,6434
T4_70;2016;1197,2034;7;4,7529;1231,8805
T4_73;2007;1219,3971;85;4,3349;1517,5849
T4_73;2016;1219,3971;0;4,4952;1215,0495
T4_77;2007;1284,3659;55;4,2846;1577,3297
T4_77;2016;1284,3659;25;4,2504;1213,0537
T4_81;2007;1318,5434;45;4,3003;1601,8132
T4_81;2016;1318,5434;25;4,0956;1189,2832
T4_9;2007;714,8075;70;6,752;1617,3768
T4_9;2016;714,8075;120;6,5925;1134,9215
TS_1;2007;1080,2467;20;6,4301;2162,8295
TS_1;2016;1080,2467;10;6,101;1481,1915
